sweep_id,pdb_id_id,wavelength,MR_success,TFZ,LLG,PAK,mr_reso,mr_sg,mr_sg_no,RMSD,VRMS,eLLG,tncs,model_pdb,seq_ident,model_res,anomalousCC,IoverSigma,completeness,diffI,RmergeI,lowreslimit,RpimI,multiplicity,RmeasdiffI,anomalousslope,diffF,wilsonbfactor,RmeasI,highreslimit,RpimdiffI,anomalousmulti,RmergediffI,totalobservations,anomalouscompl,cchalf,totalunique
732,1019,0.9763,0.00,0.00,55.00,4.00,2.16,P1,1,1.05,0.59,15.30,1.00,3A7O,17.14,2.50,0.0000,4.35,62.82,0.000,0.0746,32.05,0.0746,1.45,0.8070,0.640,0.000,33.66,0.1056,2.16,0.5707,1.00,0.5707,"12,755",28.48,0.9814,"8,768"
1158,1025,0.9792,1.00,61.20,"2,449.00",0.00,1.70,H32,155,0.90,0.67,571.70,0.00,5GZK,54.65,1.70,0.2050,7.36,99.90,1.395,0.1308,39.31,0.0530,6.90,0.1361,0.852,0.152,19.62,0.1414,1.70,0.0706,3.56,0.1159,"576,429",99.72,0.9971,"83,576"
1159,1025,0.9184,1.00,61.20,"2,449.00",0.00,1.70,H32,155,0.90,0.67,571.70,0.00,5GZK,54.65,1.70,0.1147,7.08,99.91,1.393,0.1448,41.35,0.0583,7.01,0.1531,0.806,0.166,21.20,0.1563,1.75,0.0790,3.62,0.1306,"537,245",99.73,0.9967,"76,670"
1160,1025,0.9788,1.00,61.20,"2,449.00",0.00,1.70,H32,155,0.90,0.67,571.70,0.00,5GZK,54.65,1.70,0.2972,6.82,98.74,1.445,0.1331,44.66,0.0663,4.81,0.1365,0.876,0.194,18.88,0.1491,1.93,0.0809,2.53,0.1089,"272,825",95.78,0.9950,"56,737"
997,103,0.9253,0.00,9.50,57.00,0.00,2.50,P1,1,0.00,0.00,260.70,0.00,1CM8,63.51,2.40,0.0518,3.36,81.29,0.000,0.1842,60.03,0.1686,1.72,0.1912,0.676,0.000,-8.45,0.2506,1.87,0.1343,1.17,0.1360,"155,873",38.22,0.8088,"90,410"
83,1030,0.9791,0.00,5.70,23.00,8.00,1.75,I422,97,1.06,1.49,144.40,0.00,2TLX,18.93,1.65,0.7887,14.14,99.98,2.025,0.1346,47.50,0.0340,16.33,0.1222,1.301,0.116,25.13,0.1389,1.75,0.0415,8.58,0.1149,"849,460",99.93,0.9988,"52,009"
194,1032,0.9793,0.00,7.60,82.00,0.00,1.85,P1,1,0.00,0.00,48.80,0.00,5IM0,77.38,1.70,0.0000,4.24,90.39,1.343,0.0981,34.65,0.0981,1.95,0.2383,0.685,0.211,21.33,0.1388,1.85,0.1685,1.08,0.1685,"57,784",71.89,0.9694,"29,670"
195,1032,0.9116,0.00,7.60,82.00,0.00,1.85,P1,1,0.00,0.00,48.80,0.00,5IM0,77.38,1.70,0.0000,4.11,97.46,1.369,0.1062,34.66,0.1062,1.95,0.2693,0.686,0.225,19.94,0.1502,1.86,0.1904,1.08,0.1904,"61,556",78.78,0.9583,"31,540"
196,1032,0.9792,0.00,7.60,82.00,0.00,1.85,P1,1,0.00,0.00,48.80,0.00,5IM0,77.38,1.70,0.0000,4.21,97.35,1.303,0.1054,34.73,0.1054,1.96,0.2397,0.656,0.223,22.54,0.1491,2.01,0.1695,1.08,0.1695,"48,731",78.88,0.9864,"24,922"
951,1035,0.9793,0.00,5.60,40.00,9.00,1.75,P21212,18,1.06,1.42,184.70,0.00,4R8O,26.92,2.50,0.4657,8.53,99.94,1.439,0.0866,37.26,0.0510,3.61,0.0858,0.995,0.141,29.07,0.1009,1.75,0.0562,1.93,0.0644,"64,063",99.70,0.9983,"17,752"
